ID,GameTypes,Japanese,Romaji,English,Type,Notes,ExampleKana,ExampleRomaji,MC_Question,MC_Option1,MC_Option1Romaji,MC_Option2,MC_Option2Romaji,MC_Option3,MC_Option3Romaji,MC_Option4,MC_Option4Romaji,MC_CorrectOption,FITB_SentenceKana,FITB_SentenceRomaji,FITB_AnswerKana,FITB_AnswerRomaji,DragDropCategory,Audio,Category,Difficulty
U1-001,flashcard;mc;fitb;dragdrop;audio,おはよう,ohayou,Good morning,Greeting,"Add ございます for formality",おはよう、みなさん。,ohayou, minasan.,,,,,,,,,,,,,Greeting,[audio],Greetings,Easy
U1-002,flashcard;mc;fitb;dragdrop;audio,おはようございます,ohayou gozaimasu,Good morning (formal),Greeting,"Use with teachers/seniors",おはようございます、せんせい。,ohayou gozaimasu, sensei.,"What is the polite way to say 'Good morning'?",おはよう,ohayou,こんにちは,konnichiwa,おはようございます,ohayou gozaimasu,こんばんは,konbanwa,3,おはよう（__________）,ohayou (__________),ございます,gozaimasu,Greeting,[audio],Greetings,Easy
U1-003,flashcard;mc;fitb;dragdrop;audio,さん,san,Mr./Ms.,Honorific,"Safe, general honorific",たなかさん,tanaka san,"Which honorific is safest to use?",くん,kun,ちゃん,chan,さん,san,せんせい,sensei,3,,,,Honorific,[audio],Honorific,Easy
U1-004,flashcard;mc;fitb;dragdrop;audio,しずかにして,shizuka ni shite,Please be quiet,Instruction,"Used by teachers",しずかにして、みなさん。,shizuka ni shite, minasan.,"What does しずかにして mean?",Please stand up,Please stand up,Please be quiet,Please be quiet,Please write,Please write,Please listen,Please listen,2,しずかに__________。,shizuka ni ________.,して,shite,Instruction,[audio],Instruction,Easy
U1-005,flashcard;mc;fitb;dragdrop;audio,ありがとう,arigatou,Thank you,Polite Expression,Informal,ありがとう、せんせい。,arigatou, sensei.,"How do you say 'Thank you' formally?",ありがとう,arigatou,ありがとうございます,arigatou gozaimasu,どうぞ,douzo,すみません,sumimasen,2,ありがとう、__________。,arigatou, ________.,ございます,gozaimasu,Polite Expression,[audio],Polite,Easy
U1-006,flashcard;mc;fitb;dragdrop;audio,たってください,tatte kudasai,Please stand up,Instruction,,たってください、みなさん。,tatte kudasai, minasan.,"Which phrase means 'Please write'?",かいてください,kaite kudasai,みせてください,misete kudasai,たってください,tatte kudasai,すわってください,suwatte kudasai,3,たって__________。,tatte ________.,ください,kudasai,Instruction,[audio],Instruction,Easy
U1-007,flashcard;dragdrop;audio,こんにちは,konnichiwa,Hello/Good afternoon,Greeting,"Used from 11am",こんにちは、ゆきさん。,konnichiwa, yuki san.,,,,,,,,,,________、みなさん。,________, minasan.,こんにちは,konnichiwa,Greeting,[audio],Greetings,Easy
U1-008,flashcard;dragdrop;audio,こんばんは,konbanwa,Good evening,Greeting,"Used from dusk",こんばんは、みなさん。,konbanwa, minasan.,"Which greeting is used in the evening?",おはよう,ohayou,こんにちは,konnichiwa,こんばんは,konbanwa,おやすみ,oyasumi,3,,,,Greeting,[audio],Greetings,Easy
U1-009,flashcard;dragdrop;audio,さようなら,sayounara,Goodbye,Farewell,"Used when not seeing for a while",さようなら、またあした。,sayounara, mata ashita.,,,,,,,,,,________、またあした。,________, mata ashita.,さようなら,sayounara,Farewell,[audio],Farewell,Easy
U1-010,flashcard;dragdrop;audio,またね,matane,See you later,Farewell,Informal,またね、けいとさん。,matane, keito san.,,,,,,,,,,________、けいとさん。,________, keito san.,またね,matane,Farewell,[audio],Farewell,Easy
U1-011,flashcard;dragdrop;audio,またあした,mata ashita,See you tomorrow,Farewell,,またあした、みなさん。,mata ashita, minasan.,"How do you say 'See you tomorrow'?",またね,matane,またあした,mata ashita,さようなら,sayounara,おやすみ,oyasumi,2,,,,Farewell,[audio],Farewell,Easy
U1-012,flashcard;dragdrop;audio,おやすみなさい,oyasumi nasai,Good night,Farewell,,おやすみなさい、はは。,oyasumi nasai, haha.,,,,,,,,,,,,,Farewell,[audio],Farewell,Easy
U1-013,flashcard;dragdrop;audio,はい,hai,Yes/OK,Aizuchi/Response,"Used for active listening",はい、そうです。,hai, sou desu.,"What does はい mean?",No,No,Yes/OK,Yes/OK,Maybe,Maybe,"I don't know","I don't know",2,________、そうです。,________, sou desu.,はい,hai,Aizuchi/Response,[audio],Aizuchi,Easy
U1-014,flashcard;dragdrop;audio,いいえ,iie,No,Aizuchi/Response,,いいえ、ちがいます。,iie, chigaimasu.,,,,,,,,,,________、ちがいます。,________, chigaimasu.,いいえ,iie,Aizuchi/Response,[audio],Aizuchi,Easy
U1-015,flashcard;dragdrop;audio,どうぞよろしく,douzo yoroshiku,Pleased to meet you,Polite Expression,"Used after self-introduction",どうぞよろしく、おねがいします。,douzo yoroshiku, onegaishimasu.,,,,,,,,,,,,,Polite Expression,[audio],Polite,Easy
U1-016,flashcard;dragdrop;audio,はじめまして,hajimemashite,How do you do?,Polite Expression,"Used at first meeting",はじめまして、わたしはエマです。,hajimemashite, watashi wa ema desu.,,,,,,,,,,,,,Polite Expression,[audio],Polite,Easy
